presupuesto,tipo_comida,ocasion,vegano,calorias,platillo_recomendado
bajo,italiana,familiar,no,500,pizza_margarita
bajo,italiana,familiar,no,550,pizza_pepperoni
bajo,italiana,familiar,no,480,espagueti_bolognesa
bajo,italiana,cita,no,400,pasta_carbonara
bajo,italiana,cita,no,450,lasagna_pequena
bajo,italiana,cita,no,420,ravioles_queso
bajo,italiana,negocio,no,450,lasagna
bajo,italiana,negocio,no,430,penne_arrabiata
medio,italiana,familiar,no,700,lasagna
medio,italiana,familiar,no,750,pizza_cuatro_quesos
medio,italiana,cita,no,550,risotto_setas
medio,italiana,cita,no,600,osobuco
medio,italiana,negocio,no,600,ravioles
medio,italiana,negocio,no,650,filete_parmesano
alto,italiana,familiar,no,650,ravioles_espinaca
alto,italiana,familiar,no,700,osobuco_con_risotto
alto,italiana,cita,no,500,ensalada_caprese
alto,italiana,cita,no,550,filete_trufa
alto,italiana,negocio,no,650,filete_parmesano_truffle
alto,italiana,cita,si,400,ensalada_caprese_vegan
alto,italiana,cita,si,450,risotto_vegano
bajo,mexicana,familiar,no,600,tacos_pastor
bajo,mexicana,familiar,no,550,enchiladas_verdes
bajo,mexicana,cita,no,450,quesadillas
bajo,mexicana,cita,no,480,sopes
bajo,mexicana,negocio,no,500,enchiladas
bajo,mexicana,negocio,no,520,flautas
medio,mexicana,familiar,no,800,mole_poblano
medio,mexicana,familiar,no,750,pozole
medio,mexicana,cita,no,600,enchiladas_suizas
medio,mexicana,cita,no,650,cochinita_pibil
medio,mexicana,negocio,no,650,chiles_en_nogada
medio,mexicana,negocio,no,680,pepian
alto,mexicana,familiar,si,550,tostadas_veganas
alto,mexicana,familiar,si,600,enchiladas_veganas
alto,mexicana,familiar,no,800,carne_asada
alto,mexicana,cita,si,400,ceviche_vegano
alto,mexicana,cita,si,450,tacos_veganos
alto,mexicana,cita,no,750,lomo_enchilado
alto,mexicana,cita,no,800,camarones_a_la_diabla
alto,mexicana,negocio,no,750,carne_asada_fina
bajo,asiatica,familiar,no,450,arroz_frito
bajo,asiatica,familiar,no,480,chow_mein
bajo,asiatica,familiar,no,420,gyozas
bajo,asiatica,cita,no,350,rollos_primavera
bajo,asiatica,cita,no,380,arroz_tailandes
bajo,asiatica,negocio,no,400,ramen_basico
bajo,asiatica,negocio,no,420,udon
medio,asiatica,familiar,si,500,tailandes_verde
medio,asiatica,familiar,si,550,curry_rojo_vegano
medio,asiatica,familiar,no,650,teriyaki_pollo
medio,asiatica,cita,si,400,ramen_vegetariano
medio,asiatica,cita,si,450,pad_thai_vegano
medio,asiatica,cita,no,550,pad_thai_camaron
medio,asiatica,cita,no,600,curry_amarillo
medio,asiatica,negocio,no,550,pad_thai
medio,asiatica,negocio,no,600,teriyaki_salmon
medio,asiatica,negocio,no,580,bibimbap
alto,asiatica,familiar,no,700,sushi_mixto
alto,asiatica,familiar,no,750,sashimi_variado
alto,asiatica,cita,no,600,pad_thai
alto,asiatica,cita,no,650,curry_real
alto,asiatica,negocio,no,650,teriyaki
alto,asiatica,negocio,no,700,sushi_premium
alto,asiatica,cita,si,450,rollos_veganos
alto,asiatica,cita,si,500,ramen_vegano_premium